pat_no,pat_clm_ct,pat_wrd_ct,pat_wrd_min,pat_dep_clm_ct,pat_dep_wrd_ct,pat_dep_wrd_min,pat_wrd_avg,pat_dep_wrd_avg,appl_id
3931756,1,362,362.0,8,168,15.0,362.0,21.0,
3931757,1,183,183.0,4,172,22.0,183.0,43.0,5292264.0
3931761,1,296,296.0,4,616,49.0,296.0,154.0,
3931763,2,272,128.0,7,176,16.0,136.0,25.14286,
3931764,1,208,208.0,11,818,22.0,208.0,74.36364,
3931766,1,113,113.0,6,156,13.0,113.0,26.0,
3931767,1,351,351.0,12,552,23.0,351.0,46.0,
3931768,3,1341,433.0,15,2296,43.0,447.0,153.0667,
3931769,1,155,155.0,6,479,48.0,155.0,79.83334,
3931770,1,106,106.0,11,545,21.0,106.0,49.54546,
3931772,1,91,91.0,5,131,15.0,91.0,26.2,
3931774,3,517,116.0,7,418,21.0,172.3333,59.71429,
3931775,4,539,121.0,22,1130,16.0,134.75,51.36364,
3931776,1,213,213.0,2,83,31.0,213.0,41.5,5484884.0
3931785,1,151,151.0,3,71,23.0,151.0,23.66667,
3931786,2,762,296.0,9,545,20.0,381.0,60.55556,
3931788,1,165,165.0,6,311,35.0,165.0,51.83333,
3931789,1,98,98.0,7,362,17.0,98.0,51.71429,
3931794,1,219,219.0,3,369,105.0,219.0,123.0,
3931795,3,504,134.0,14,455,19.0,168.0,32.5,
3931797,1,248,248.0,6,215,21.0,248.0,35.83333,
3931798,1,213,213.0,10,358,19.0,213.0,35.8,
3931801,1,344,344.0,6,246,27.0,344.0,41.0,
3931802,1,131,131.0,21,1002,21.0,131.0,47.71429,
3931804,1,112,112.0,5,233,24.0,112.0,46.6,
3931805,1,343,343.0,1,44,44.0,343.0,44.0,5499289.0
3931807,1,419,419.0,7,403,25.0,419.0,57.57143,
3931809,1,277,277.0,3,82,18.0,277.0,27.33333,
3931810,1,326,326.0,5,150,16.0,326.0,30.0,
3931812,1,136,136.0,5,139,16.0,136.0,27.8,
3931813,1,387,387.0,3,78,19.0,387.0,26.0,
3931814,2,183,86.0,4,164,16.0,91.5,41.0,5391796.0
3931815,1,316,316.0,0,0,,316.0,,
3931816,1,272,272.0,5,200,22.0,272.0,40.0,
3931817,1,271,271.0,3,135,30.0,271.0,45.0,
3931818,3,728,200.0,8,526,27.0,242.6667,65.75,
3931825,2,536,253.0,7,248,30.0,268.0,35.42857,
3931826,3,199,43.0,16,807,22.0,66.33334,50.4375,
3931828,2,292,138.0,4,178,35.0,146.0,44.5,5538039.0
3931829,4,867,191.0,1,19,19.0,216.75,19.0,5527387.0
3931830,1,133,133.0,1,88,88.0,133.0,88.0,
3931834,2,401,196.0,8,303,26.0,200.5,37.875,
3931838,5,1390,180.0,13,1056,18.0,278.0,81.23077,5526550.0
3931839,3,359,113.0,16,871,24.0,119.6667,54.4375,
3931840,2,172,83.0,16,914,27.0,86.0,57.125,
3931843,1,181,181.0,14,545,18.0,181.0,38.92857,
3931849,1,164,164.0,3,166,35.0,164.0,55.33333,
3931855,3,730,209.0,4,440,76.0,243.3333,110.0,5517390.0
3931856,1,109,109.0,3,125,25.0,109.0,41.66667,
3931859,1,226,226.0,22,766,20.0,226.0,34.81818,
3931860,1,1532,1532.0,7,1314,60.0,1532.0,187.7143,
3931861,1,258,258.0,6,240,29.0,258.0,40.0,
3931862,2,245,116.0,22,908,18.0,122.5,41.27273,
3931865,1,126,126.0,2,106,17.0,126.0,53.0,
3931867,2,346,153.0,6,172,17.0,173.0,28.66667,
3931868,1,92,92.0,7,292,26.0,92.0,41.71429,
3931869,1,301,301.0,1,217,217.0,301.0,217.0,
3931870,5,2865,416.0,1,21,21.0,573.0,21.0,
3931871,3,742,183.0,16,568,11.0,247.3333,35.5,
3931877,1,207,207.0,13,518,18.0,207.0,39.84615,
3931879,1,349,349.0,11,503,18.0,349.0,45.72727,
3931883,1,301,301.0,8,390,23.0,301.0,48.75,
3931884,1,175,175.0,0,0,,175.0,,5399817.0
3931886,2,401,198.0,2,52,26.0,200.5,26.0,5532857.0
3931887,1,319,319.0,2,125,48.0,319.0,62.5,5490582.0
3931888,2,412,177.0,8,387,27.0,206.0,48.375,
3931889,1,182,182.0,2,90,35.0,182.0,45.0,5528270.0
3931890,3,469,133.0,9,477,29.0,156.3333,53.0,
3931891,1,163,163.0,6,232,21.0,163.0,38.66667,
3931892,8,1478,99.0,13,717,21.0,184.75,55.15385,
3931898,1,140,140.0,1,71,71.0,140.0,71.0,
3931899,3,354,115.0,11,589,30.0,118.0,53.54546,
3931901,3,691,159.0,10,476,26.0,230.3333,47.6,
3931904,3,421,107.0,11,333,21.0,140.3333,30.27273,
3931905,1,145,145.0,2,57,16.0,145.0,28.5,
3931907,2,373,151.0,12,462,19.0,186.5,38.5,
3931908,1,144,144.0,4,133,17.0,144.0,33.25,
3931909,8,1520,149.0,18,571,13.0,190.0,31.72222,
3931911,1,356,356.0,6,295,23.0,356.0,49.16667,
3931912,1,219,219.0,16,570,15.0,219.0,35.625,5512844.0
3931913,2,215,101.0,5,157,18.0,107.5,31.4,
3931914,3,943,297.0,6,739,94.0,314.3333,123.1667,
3931915,5,1320,229.0,12,583,18.0,264.0,48.58333,
3931916,1,525,525.0,0,0,,525.0,,
3931918,2,609,209.0,18,802,19.0,304.5,44.55556,
3931919,1,175,175.0,6,306,24.0,175.0,51.0,5450363.0
3931923,2,336,154.0,8,235,20.0,168.0,29.375,
3931924,1,145,145.0,2,54,27.0,145.0,27.0,5513459.0
3931925,1,227,227.0,2,73,22.0,227.0,36.5,
3931926,1,269,269.0,28,2194,24.0,269.0,78.35714,5461961.0
3931934,2,238,111.0,10,523,26.0,119.0,52.3,
3931939,3,1046,330.0,4,187,29.0,348.6667,46.75,
3931940,9,1664,117.0,23,839,12.0,184.8889,36.47826,
3931944,2,548,272.0,5,342,38.0,274.0,68.4,
3931946,2,361,150.0,14,518,24.0,180.5,37.0,5543609.0
3931947,1,329,329.0,5,295,25.0,329.0,59.0,
3931948,1,247,247.0,6,285,19.0,247.0,47.5,
3931949,1,252,252.0,8,390,24.0,252.0,48.75,
3931951,2,381,184.0,8,350,26.0,190.5,43.75,
3931953,1,235,235.0,3,164,33.0,235.0,54.66667,
3931954,2,943,468.0,7,158,12.0,471.5,22.57143,
3931956,2,477,232.0,1,89,89.0,238.5,89.0,
3931957,2,232,27.0,26,1002,17.0,116.0,38.53846,
3931960,1,105,105.0,10,334,17.0,105.0,33.4,
3931961,4,946,196.0,0,0,,236.5,,
3931963,2,281,123.0,13,610,15.0,140.5,46.92308,5555698.0
3931965,1,253,253.0,5,122,15.0,253.0,24.4,
3931966,4,970,136.0,6,198,16.0,242.5,33.0,
3931967,2,799,330.0,3,198,30.0,399.5,66.0,
3931968,2,501,234.0,2,95,26.0,250.5,47.5,
3931970,1,295,295.0,7,513,34.0,295.0,73.28571,
3931972,1,219,219.0,9,355,20.0,219.0,39.44444,
3931973,1,273,273.0,3,126,36.0,273.0,42.0,
3931974,3,1281,270.0,12,504,16.0,427.0,42.0,
3931975,2,285,129.0,10,230,21.0,142.5,23.0,
3931976,1,165,165.0,6,318,27.0,165.0,53.0,
3931980,1,134,134.0,3,131,36.0,134.0,43.66667,
3931982,2,369,182.0,11,1063,17.0,184.5,96.63636,
3931984,1,247,247.0,4,318,41.0,247.0,79.5,
3931986,1,124,124.0,4,119,25.0,124.0,29.75,
3931989,1,189,189.0,10,516,36.0,189.0,51.6,
3931991,2,453,177.0,9,782,27.0,226.5,86.88889,
3931994,2,536,265.0,3,85,21.0,268.0,28.33333,
3931997,2,232,113.0,1,20,20.0,116.0,20.0,
3932003,3,676,200.0,5,286,20.0,225.3333,57.2,
3932005,2,239,119.0,10,294,18.0,119.5,29.4,
3932009,1,266,266.0,2,81,40.0,266.0,40.5,
3932010,2,683,328.0,6,409,31.0,341.5,68.16666,5543359.0
3932025,2,217,102.0,35,932,16.0,108.5,26.62857,
3932028,1,235,235.0,3,180,37.0,235.0,60.0,
3932034,2,142,65.0,14,626,19.0,71.0,44.71429,5478451.0
3932035,1,61,61.0,8,200,17.0,61.0,25.0,
3932037,1,152,152.0,7,453,38.0,152.0,64.71429,
3932038,1,218,218.0,8,362,24.0,218.0,45.25,
3932039,3,527,150.0,17,823,15.0,175.6667,48.41177,
3932040,1,201,201.0,10,521,26.0,201.0,52.1,
3932041,1,139,139.0,7,212,18.0,139.0,30.28572,
3932042,4,637,68.0,18,736,26.0,159.25,40.88889,
3932044,1,197,197.0,5,114,17.0,197.0,22.8,5528277.0
3932046,1,234,234.0,2,64,25.0,234.0,32.0,
3932051,2,46,16.0,10,291,15.0,23.0,29.1,
3932055,1,172,172.0,2,81,33.0,172.0,40.5,
3932057,1,387,387.0,11,498,23.0,387.0,45.27273,
3932063,1,303,303.0,2,66,29.0,303.0,33.0,
3932065,3,942,286.0,7,195,20.0,314.0,27.85714,5522012.0
3932066,3,589,163.0,20,997,18.0,196.3333,49.85,
3932068,3,563,182.0,10,516,29.0,187.6667,51.6,4845634.0
3932069,1,340,340.0,0,0,,340.0,,
3932070,1,387,387.0,13,1157,34.0,387.0,89.0,
3932074,2,172,62.0,6,209,18.0,86.0,34.83333,
3932076,2,1123,337.0,13,864,30.0,561.5,66.46154,
3932078,3,739,137.0,0,0,,246.3333,,
3932079,1,232,232.0,0,0,,232.0,,
3932080,1,246,246.0,3,323,64.0,246.0,107.6667,
3932084,3,270,44.0,10,345,14.0,90.0,34.5,
3932087,1,199,199.0,19,804,18.0,199.0,42.31579,
3932088,1,226,226.0,8,164,16.0,226.0,20.5,
3932093,2,617,305.0,8,373,32.0,308.5,46.625,
3932094,4,3670,415.0,7,786,34.0,917.5,112.2857,
3932096,1,142,142.0,8,200,18.0,142.0,25.0,
3932098,2,213,65.0,18,884,14.0,106.5,49.11111,
3932099,2,299,132.0,3,185,26.0,149.5,61.66667,
3932100,1,139,139.0,5,108,19.0,139.0,21.6,
3932101,2,226,92.0,7,342,23.0,113.0,48.85714,5504253.0
3932105,1,130,130.0,4,99,21.0,130.0,24.75,5582291.0
3932107,2,608,301.0,20,822,22.0,304.0,41.1,
3932108,3,636,141.0,1,194,194.0,212.0,194.0,
3932112,3,140,20.0,11,331,15.0,46.66667,30.09091,
3932119,2,825,346.0,5,300,29.0,412.5,60.0,
3932131,2,310,150.0,12,341,19.0,155.0,28.41667,
3932135,1,87,87.0,5,146,16.0,87.0,29.2,
3932136,3,959,272.0,8,635,39.0,319.6667,79.375,
3932139,6,2179,327.0,6,186,14.0,363.1667,31.0,
3932141,1,99,99.0,9,235,14.0,99.0,26.11111,5487350.0
3932143,2,126,57.0,5,132,17.0,63.0,26.4,
3932144,2,131,24.0,0,0,,65.5,,
3932146,2,242,112.0,8,317,18.0,121.0,39.625,5487516.0
3932147,1,333,333.0,6,310,16.0,333.0,51.66667,
3932148,2,718,297.0,8,322,22.0,359.0,40.25,5542725.0
3932150,1,197,197.0,3,176,44.0,197.0,58.66667,
3932156,2,228,106.0,0,0,,114.0,,
3932159,1,150,150.0,1,35,35.0,150.0,35.0,
3932160,1,158,158.0,13,293,16.0,158.0,22.53846,
3932161,1,141,141.0,1,35,35.0,141.0,35.0,
3932166,4,676,141.0,6,158,21.0,169.0,26.33333,
3932171,8,938,86.0,23,732,15.0,117.25,31.82609,
3932178,1,114,114.0,4,120,26.0,114.0,30.0,
3932183,2,1174,544.0,0,0,,587.0,,
3932184,1,155,155.0,4,246,29.0,155.0,61.5,
3932185,1,141,141.0,8,583,29.0,141.0,72.875,
3932190,3,388,87.0,10,796,21.0,129.3333,79.6,5383691.0
3932195,2,351,137.0,20,650,18.0,175.5,32.5,
3932196,1,104,104.0,9,422,22.0,104.0,46.88889,
3932197,1,99,99.0,14,384,9.0,99.0,27.42857,
3932202,2,293,92.0,3,140,22.0,146.5,46.66667,5521015.0
3932203,4,403,84.0,18,430,13.0,100.75,23.88889,
3932205,1,73,73.0,0,0,,73.0,,
3932208,1,131,131.0,4,79,16.0,131.0,19.75,
3932212,3,517,139.0,4,231,34.0,172.3333,57.75,5450062.0
3932218,1,38,38.0,1,32,32.0,38.0,32.0,
3932224,1,126,126.0,5,126,23.0,126.0,25.2,
3932225,2,628,286.0,6,188,16.0,314.0,31.33333,
3932226,1,107,107.0,9,526,23.0,107.0,58.44444,
3932227,2,332,164.0,17,313,14.0,166.0,18.41176,
3932229,2,262,126.0,3,83,24.0,131.0,27.66667,
3932231,1,134,134.0,9,257,13.0,134.0,28.55556,
3932234,2,364,182.0,5,186,24.0,182.0,37.2,5404776.0
3932235,6,927,138.0,5,224,31.0,154.5,44.8,
3932244,4,866,164.0,10,380,14.0,216.5,38.0,
3932248,2,678,307.0,10,503,18.0,339.0,50.3,
3932250,1,130,130.0,15,366,15.0,130.0,24.4,
3932252,2,200,83.0,11,338,23.0,100.0,30.72727,
3932253,6,1187,106.0,4,392,74.0,197.8333,98.0,
3932254,1,501,501.0,5,236,30.0,501.0,47.2,
3932256,1,176,176.0,4,207,46.0,176.0,51.75,
3932259,1,152,152.0,7,333,19.0,152.0,47.57143,
3932262,2,211,101.0,10,253,19.0,105.5,25.3,5406296.0
3932263,1,133,133.0,2,33,16.0,133.0,16.5,
3932265,2,483,213.0,22,1733,18.0,241.5,78.77273,5455871.0
3932266,2,557,256.0,12,395,18.0,278.5,32.91667,
3932267,1,140,140.0,4,139,17.0,140.0,34.75,
3932270,1,288,288.0,6,255,22.0,288.0,42.5,
3932271,1,233,233.0,8,275,26.0,233.0,34.375,
3932277,3,380,119.0,15,585,16.0,126.6667,39.0,
3932281,1,149,149.0,3,143,47.0,149.0,47.66667,
3932285,4,474,70.0,28,661,12.0,118.5,23.60714,
3932292,1,153,153.0,7,201,13.0,153.0,28.71428,
3932293,2,215,105.0,5,96,9.0,107.5,19.2,
3932309,1,126,126.0,5,156,21.0,126.0,31.2,5476505.0
3932310,1,173,173.0,2,74,22.0,173.0,37.0,
3932319,1,132,132.0,29,654,11.0,132.0,22.55172,
3932321,1,216,216.0,6,319,25.0,216.0,53.16667,
3932323,1,101,101.0,8,265,11.0,101.0,33.125,
3932327,1,286,286.0,7,275,27.0,286.0,39.28571,
3932328,1,174,174.0,4,138,22.0,174.0,34.5,5407331.0
3932329,1,44,44.0,6,205,26.0,44.0,34.16667,5493773.0
3932330,1,194,194.0,5,151,20.0,194.0,30.2,5493774.0
3932350,1,188,188.0,10,297,16.0,188.0,29.7,
3932354,2,171,72.0,14,274,13.0,85.5,19.57143,
3932355,1,243,243.0,9,154,10.0,243.0,17.11111,
3932365,1,112,112.0,10,265,15.0,112.0,26.5,
3932366,1,92,92.0,4,120,10.0,92.0,30.0,
3932369,2,158,56.0,29,466,11.0,79.0,16.06897,5521454.0
3932371,1,207,207.0,8,228,11.0,207.0,28.5,
3932392,1,135,135.0,10,736,26.0,135.0,73.6,
3932395,4,111,8.0,0,0,,27.75,,
3932417,2,472,104.0,0,0,,236.0,,
3932419,1,73,73.0,2,22,11.0,73.0,11.0,
3932441,1,101,101.0,4,104,21.0,101.0,26.0,
3932442,1,178,178.0,5,141,21.0,178.0,28.2,
3932454,1,110,110.0,6,157,18.0,110.0,26.16667,
3932460,1,127,127.0,6,107,12.0,127.0,17.83333,
3932462,6,733,81.0,5,302,21.0,122.1667,60.4,
3932474,1,79,79.0,7,147,13.0,79.0,21.0,
3932491,1,121,121.0,2,43,16.0,121.0,21.5,
3932500,1,152,152.0,5,155,23.0,152.0,31.0,
3932501,2,524,190.0,7,160,15.0,262.0,22.85714,
3932513,2,304,147.0,2,65,27.0,152.0,32.5,5334822.0
3932533,2,157,69.0,11,220,14.0,78.5,20.0,
3932534,1,225,225.0,10,512,22.0,225.0,51.2,
3932535,1,91,91.0,14,249,12.0,91.0,17.78572,
3932542,1,60,60.0,11,255,16.0,60.0,23.18182,
3932543,1,76,76.0,8,126,11.0,76.0,15.75,
3932544,3,293,68.0,8,226,15.0,97.66666,28.25,
3932552,1,243,243.0,10,352,21.0,243.0,35.2,
3932562,1,148,148.0,19,668,11.0,148.0,35.15789,
3932575,2,492,231.0,0,0,,246.0,,
3932576,2,256,113.0,4,138,31.0,128.0,34.5,
3932579,1,128,128.0,4,117,16.0,128.0,29.25,
3932580,1,232,232.0,4,170,28.0,232.0,42.5,
3932581,1,81,81.0,8,188,16.0,81.0,23.5,
3932586,1,315,315.0,8,336,21.0,315.0,42.0,
3932587,1,227,227.0,6,189,18.0,227.0,31.5,5300925.0
3932589,1,144,144.0,5,150,16.0,144.0,30.0,
3932590,1,134,134.0,10,241,20.0,134.0,24.1,5459256.0
3932595,1,103,103.0,5,174,17.0,103.0,34.8,5477340.0
3932596,2,542,259.0,20,682,15.0,271.0,34.1,
3932599,5,145,2.0,0,0,,29.0,,
3932602,1,96,96.0,2,40,16.0,96.0,20.0,5424422.0
3932603,2,66,22.0,0,0,,33.0,,
3932610,3,718,198.0,15,583,23.0,239.3333,38.86666,
3932612,1,123,123.0,9,313,14.0,123.0,34.77778,5370512.0
3932615,1,148,148.0,8,224,22.0,148.0,28.0,
3932619,1,138,138.0,2,87,19.0,138.0,43.5,
3932620,6,461,55.0,0,0,,76.83334,,
3932621,7,671,77.0,0,0,,95.85714,,
3932654,1,53,53.0,5,98,14.0,53.0,19.6,
3932670,1,178,178.0,7,177,17.0,178.0,25.28572,5363558.0
3932671,2,193,93.0,13,457,27.0,96.5,35.15385,
3932672,2,115,44.0,3,112,12.0,57.5,37.33333,
3932674,1,249,249.0,9,360,11.0,249.0,40.0,5528454.0
3932680,1,252,252.0,6,166,18.0,252.0,27.66667,5432657.0
3932685,1,71,71.0,3,85,21.0,71.0,28.33333,
3932687,2,384,155.0,2,50,23.0,192.0,25.0,5344620.0
3932688,2,168,64.0,15,354,12.0,84.0,23.6,
3932690,4,302,66.0,4,135,28.0,75.5,33.75,
3932692,2,634,315.0,15,731,17.0,317.0,48.73333,5389791.0
3932696,5,724,98.0,32,1210,12.0,144.8,37.8125,5427507.0
3932707,2,190,82.0,5,163,19.0,95.0,32.6,
3932708,2,326,97.0,5,332,38.0,163.0,66.4,
3932709,6,1535,176.0,11,448,25.0,255.8333,40.72727,5449155.0
3932711,5,779,113.0,11,267,14.0,155.8,24.27273,
3932712,3,853,240.0,5,200,19.0,284.3333,40.0,
3932713,4,507,110.0,3,116,35.0,126.75,38.66667,
3932721,1,182,182.0,5,207,30.0,182.0,41.4,
3932723,1,138,138.0,7,456,16.0,138.0,65.14286,
3932728,1,230,230.0,7,186,17.0,230.0,26.57143,
3932730,1,420,420.0,4,307,67.0,420.0,76.75,5510560.0
3932731,4,361,64.0,10,381,19.0,90.25,38.1,5553528.0
3932746,4,486,112.0,14,416,17.0,121.5,29.71428,
3932747,5,767,136.0,19,614,17.0,153.4,32.31579,5472916.0
3932748,1,106,106.0,4,133,22.0,106.0,33.25,
3932751,2,339,165.0,14,686,17.0,169.5,49.0,
3932754,1,505,505.0,8,418,20.0,505.0,52.25,
3932757,2,323,119.0,5,258,17.0,161.5,51.6,
3932760,3,332,81.0,17,430,12.0,110.6667,25.29412,
3932778,4,606,133.0,4,164,27.0,151.5,41.0,
3932780,1,185,185.0,12,453,18.0,185.0,37.75,5452864.0
3932781,6,960,149.0,0,0,,160.0,,
3932784,2,225,92.0,2,54,23.0,112.5,27.0,
3932787,2,189,80.0,4,218,35.0,94.5,54.5,
3932788,1,504,504.0,0,0,,504.0,,
3932791,2,487,207.0,6,301,27.0,243.5,50.16667,
3932792,1,141,141.0,4,113,14.0,141.0,28.25,
3932793,1,303,303.0,17,852,22.0,303.0,50.11765,
3932795,1,164,164.0,7,277,24.0,164.0,39.57143,
3932796,3,580,135.0,11,478,28.0,193.3333,43.45454,
3932797,4,1290,212.0,31,1850,16.0,322.5,59.67742,
3932799,1,183,183.0,2,74,27.0,183.0,37.0,
3932802,3,572,102.0,11,407,16.0,190.6667,37.0,
3932804,2,190,95.0,10,430,22.0,95.0,43.0,
3932805,1,199,199.0,33,1850,15.0,199.0,56.06061,5387138.0
3932808,1,116,116.0,3,94,26.0,116.0,31.33333,
3932809,1,126,126.0,6,165,19.0,126.0,27.5,
3932811,7,940,96.0,14,637,20.0,134.2857,45.5,
3932813,2,801,337.0,2,94,42.0,400.5,47.0,
3932820,1,196,196.0,5,118,16.0,196.0,23.6,
3932825,3,580,150.0,12,618,25.0,193.3333,51.5,
3932827,1,198,198.0,7,218,16.0,198.0,31.14286,
3932828,2,423,200.0,3,70,22.0,211.5,23.33333,
3932830,2,384,171.0,4,140,27.0,192.0,35.0,
3932833,1,250,250.0,4,102,14.0,250.0,25.5,
3932834,2,261,120.0,1,39,39.0,130.5,39.0,
3932835,1,203,203.0,3,106,26.0,203.0,35.33333,
3932837,1,108,108.0,5,229,28.0,108.0,45.8,5533786.0
3932838,6,1084,107.0,21,1111,18.0,180.6667,52.90476,
3932841,2,588,283.0,3,106,24.0,294.0,35.33333,
3932844,1,474,474.0,3,483,123.0,474.0,161.0,
3932847,2,466,135.0,3,385,96.0,233.0,128.3333,
3932849,1,206,206.0,8,305,14.0,206.0,38.125,
3932851,3,338,100.0,6,201,20.0,112.6667,33.5,
3932852,1,196,196.0,0,0,,196.0,,
3932853,1,222,222.0,0,0,,222.0,,
3932854,4,598,102.0,15,479,20.0,149.5,31.93333,
3932856,4,569,125.0,9,365,30.0,142.25,40.55556,
3932857,1,322,322.0,4,181,35.0,322.0,45.25,5472742.0
3932864,2,205,82.0,4,478,79.0,102.5,119.5,5538592.0
3932868,1,139,139.0,3,145,34.0,139.0,48.33333,
3932872,4,502,103.0,3,110,15.0,125.5,36.66667,
3932877,1,112,112.0,8,286,23.0,112.0,35.75,
3932878,5,1028,86.0,3,285,47.0,205.6,95.0,
3932880,2,181,51.0,11,325,19.0,90.5,29.54545,
3932886,6,1499,175.0,4,225,35.0,249.8333,56.25,
3932887,2,383,141.0,3,178,51.0,191.5,59.33333,
3932889,1,704,704.0,5,294,40.0,704.0,58.8,
3932891,2,204,71.0,12,934,30.0,102.0,77.83334,
3932892,1,611,611.0,4,512,61.0,611.0,128.0,
3932894,2,527,199.0,6,345,25.0,263.5,57.5,
3932895,2,420,144.0,2,111,32.0,210.0,55.5,
3932897,1,238,238.0,2,60,26.0,238.0,30.0,
3932901,2,614,246.0,2,95,37.0,307.0,47.5,
3932903,2,176,39.0,9,415,19.0,88.0,46.11111,5512312.0
3932907,1,404,404.0,1,78,78.0,404.0,78.0,
3932911,6,856,116.0,11,371,18.0,142.6667,33.72727,
3932912,6,1140,153.0,5,222,16.0,190.0,44.4,
3932917,1,217,217.0,2,128,63.0,217.0,64.0,
3932929,1,106,106.0,10,282,16.0,106.0,28.2,
3932933,5,1209,173.0,9,159,16.0,241.8,17.66667,
3932944,2,416,81.0,0,0,,208.0,,
3932946,1,135,135.0,9,192,13.0,135.0,21.33333,
3932947,1,184,184.0,9,244,20.0,184.0,27.11111,
3932948,1,606,606.0,5,327,50.0,606.0,65.4,
3932950,1,118,118.0,2,78,30.0,118.0,39.0,5523656.0
3932954,1,114,114.0,3,159,35.0,114.0,53.0,
3932956,2,313,110.0,10,493,19.0,156.5,49.3,
3932957,4,423,57.0,7,286,18.0,105.75,40.85714,
3932958,2,969,474.0,0,0,,484.5,,
3932959,1,120,120.0,8,261,21.0,120.0,32.625,
3932960,3,401,102.0,42,2264,17.0,133.6667,53.90476,
3932963,8,1530,109.0,17,902,30.0,191.25,53.05882,
3932964,1,249,249.0,0,0,,249.0,,
3932965,4,852,159.0,0,0,,213.0,,
3932966,1,136,136.0,10,692,16.0,136.0,69.2,
3932968,1,293,293.0,6,343,29.0,293.0,57.16667,
3932969,2,264,98.0,8,455,19.0,132.0,56.875,
3932972,2,489,237.0,7,358,15.0,244.5,51.14286,
3932973,2,494,188.0,17,703,17.0,247.0,41.35294,
3932974,6,870,115.0,6,193,21.0,145.0,32.16667,
3932975,4,681,78.0,20,1143,18.0,170.25,57.15,5527137.0
3932978,1,212,212.0,9,550,26.0,212.0,61.11111,
3932979,5,1586,290.0,20,1430,18.0,317.2,71.5,
3932984,1,106,106.0,5,107,12.0,106.0,21.4,
3932987,1,55,55.0,12,296,17.0,55.0,24.66667,
3932990,1,275,275.0,5,412,68.0,275.0,82.4,
3932992,1,111,111.0,7,690,17.0,111.0,98.57143,
3932993,2,993,459.0,1,19,19.0,496.5,19.0,
3932995,2,388,183.0,1,20,20.0,194.0,20.0,
3932997,1,157,157.0,0,0,,157.0,,
3933000,1,156,156.0,2,104,29.0,156.0,52.0,
3933002,2,136,64.0,4,75,15.0,68.0,18.75,
3933005,2,474,223.0,0,0,,237.0,,
3933006,1,173,173.0,0,0,,173.0,,
3933012,2,242,109.0,11,336,18.0,121.0,30.54545,
3933013,1,155,155.0,6,222,23.0,155.0,37.0,
3933016,2,459,214.0,24,1399,19.0,229.5,58.29167,
3933017,1,149,149.0,7,365,31.0,149.0,52.14286,
3933020,2,316,156.0,1,17,17.0,158.0,17.0,
3933024,8,307,2.0,0,0,,38.375,,5478100.0
3933025,2,375,148.0,8,371,22.0,187.5,46.375,
3933026,2,281,136.0,9,453,33.0,140.5,50.33333,
3933027,2,648,303.0,12,593,18.0,324.0,49.41667,
3933028,2,346,167.0,8,346,25.0,173.0,43.25,
3933029,3,475,140.0,2,62,17.0,158.3333,31.0,
3933032,2,278,108.0,7,381,28.0,139.0,54.42857,
3933033,1,154,154.0,5,193,25.0,154.0,38.6,5466151.0
3933034,1,77,77.0,3,80,15.0,77.0,26.66667,
3933035,3,693,141.0,2,104,50.0,231.0,52.0,
3933037,1,165,165.0,12,385,14.0,165.0,32.08333,
3933047,2,220,99.0,15,499,19.0,110.0,33.26667,
3933050,1,234,234.0,4,230,48.0,234.0,57.5,
3933052,3,752,185.0,2,61,26.0,250.6667,30.5,5516206.0
3933066,1,214,214.0,13,551,16.0,214.0,42.38462,
3933067,1,276,276.0,1,30,30.0,276.0,30.0,
3933069,1,193,193.0,6,356,14.0,193.0,59.33333,
3933082,2,623,257.0,3,326,63.0,311.5,108.6667,
3933086,1,259,259.0,2,151,68.0,259.0,75.5,
3933090,2,453,200.0,1,46,46.0,226.5,46.0,
3933091,1,457,457.0,23,879,15.0,457.0,38.21739,
3933092,10,1281,90.0,17,849,17.0,128.1,49.94118,5537630.0
3933093,1,209,209.0,4,158,17.0,209.0,39.5,
3933095,1,275,275.0,1,39,39.0,275.0,39.0,
3933099,6,2107,265.0,22,1135,30.0,351.1667,51.59091,
3933101,1,156,156.0,3,233,43.0,156.0,77.66666,
3933103,3,1435,381.0,17,2231,26.0,478.3333,131.2353,
3933107,1,140,140.0,7,325,35.0,140.0,46.42857,
3933109,1,197,197.0,2,111,24.0,197.0,55.5,
3933114,1,200,200.0,4,108,22.0,200.0,27.0,
3933115,1,110,110.0,3,88,22.0,110.0,29.33333,
3933117,1,957,957.0,0,0,,957.0,,
3933118,2,238,117.0,3,183,59.0,119.0,61.0,
3933119,6,2207,192.0,27,1403,24.0,367.8333,51.96296,
3933120,3,590,178.0,6,158,16.0,196.6667,26.33333,
3933122,1,154,154.0,3,75,20.0,154.0,25.0,
3933125,2,288,123.0,1,40,40.0,144.0,40.0,
3933127,7,1056,94.0,38,1076,12.0,150.8571,28.31579,
3933128,3,409,85.0,69,2613,13.0,136.3333,37.86956,
3933132,1,337,337.0,4,275,52.0,337.0,68.75,
3933133,2,278,39.0,0,0,,139.0,,
3933134,10,1794,123.0,9,339,22.0,179.4,37.66667,
3933135,3,1155,274.0,5,398,49.0,385.0,79.6,
3933136,6,884,110.0,26,1027,14.0,147.3333,39.5,
3933137,1,182,182.0,6,470,43.0,182.0,78.33334,
3933138,4,1070,202.0,13,643,12.0,267.5,49.46154,
3933140,10,2911,172.0,27,831,15.0,291.1,30.77778,
