own_addr_1,own_addr_2,own_addr_city,own_composed_of,own_addr_country_cd,own_altn_name,own_entity_desc,own_seq,own_entity_cd,own_nalty_country_cd,own_nalty_other_cd,own_nalty_state_cd,own_addr_other_cd,own_name,own_type_cd,own_addr_postal,own_addr_state_cd,own_id,serial_no
8825 North 23rd Avenue,Suite 102,Phoenix,,,,,1,3,,,AZ,,"ARIZONA APPLE ORCHARDS, INC",10,85021,AZ,5854698,75667979
8825 North 23rd Avenue,Suite 102,Phoenix,,,,,1,3,,,AZ,,"ARIZONA APPLE ORCHARDS, INC",10,85021,AZ,5854699,75667980
204 NEW HAVEN AVE UNIT 3-C,,DERBY,,,,,1,1,CN,,,,"Yu, Peining",10,06418,CT,5856118,75668572
2900 Euclid Avenue,,Wenatchee,,,AKA Washington Apple Commission,,1,3,,,WA,,Washington State Apple Advertising Commission,20,988070018,WA,5858182,75669398
2900 Euclid Avenue,,Wenatchee,,,AKA Washington Apple Commission,,1,3,,,WA,,Washington State Apple Advertising Commission,10,988070018,WA,5858183,75669398
2450 N.W. 5TH AVE.,,MIAMI,,,,,1,3,,,FL,,BRENTANO HANDBAGS INC.,10,33127,FL,5858219,75669420
3527 Davi Court,,Antioch,,,,,1,1,US,,,,"William Andru Ball, Sr",10,945095454,CA,5861303,75670761
"624 McGeachie Drive, Unit 1",,"Milton, Ontario L9T 3Y5",,CA,,,1,3,CA,,,,S.D. Chudleigh's Ltd.,30,,,5862016,75671052
"624 McGeachie Drive, Unit 1",,"Milton, Ontario L9T 3Y5",,CA,,,1,3,CA,,,,S.D. Chudleigh's Ltd.,20,,,5862017,75671052
"624 McGeachie Drive, Unit 1",,"Milton, Ontario L9T 3Y5",,CA,,,1,3,CA,,,,S.D. Chudleigh's Ltd.,10,,,5862018,75671052
56 CALASS LANE,,STAMFORD,,,,,1,1,US,,,,"PIERCE, PHYLLIS",31,06903,CT,5863124,75671491
"2118 Wilshire Blvd., Suite 1019",,Santa Monica,,,,,1,3,,,CA,,"Pie Works, Inc.",30,90403,CA,5863125,75671491
"2118 Wilshire Blvd., Suite 1019",,Santa Monica,,,,,1,3,,,CA,,"Pie Works, Inc.",20,90403,CA,5863126,75671491
"2118 Wilshire Blvd., Suite 1019",,Santa Monica,,,,,1,3,,,CA,,"Pie Works, Inc.",10,90403,CA,5863127,75671491
56 CALASS LANE,,STAMFORD,,,,,1,1,US,,,,"PIERCE, PHYLLIS",31,06903,CT,5863133,75671494
"2118 Wishire Blvd., Suite 1019",,Santa Monica,,,,,1,3,,,CA,,"Pie Works, Inc.",30,90403,CA,5863134,75671494
"2118 Wishire Blvd., Suite 1019",,Santa Monica,,,,,1,3,,,CA,,"Pie Works, Inc.",20,90403,CA,5863135,75671494
"2118 Wishire Blvd., Suite 1019",,Santa Monica,,,,,1,3,,,CA,,"Pie Works, Inc.",10,90403,CA,5863136,75671494
333 CONTINENTAL BLVD.,TWR 15-1,EL SEGUNDO,,,,,1,3,,,DE,,"MATTEL, INC.",32,90245,CA,5871870,75675281
P.O. BOX 14317,,MADISON,,,,,1,3,,,WI,,"OUT OF THE BOX PUBLISHING, INC.",31,53708,WI,5871871,75675281
2722 Oakridge Avenue,,Madison,,,,,1,16,,,WI,,"Out of the Box Publishing, LLC",30,53704,WI,5871872,75675281
2722 Oakridge Avenue,,Madison,,,,,1,16,,,WI,,"Out of the Box Publishing, LLC",20,53704,WI,5871873,75675281
2722 Oakridge Avenue,,Madison,,,,,1,16,,,WI,,"Out of the Box Publishing, LLC",10,53704,WI,5871874,75675281
1000 CORPORATE DRIVE,,FORT LAUDERDALE,,,,,1,16,,,DE,,"ARBY'S BRANDS, LLC",21,33334,FL,5873542,75676091
1000 Corporate Drive,,Ft. Lauderdale,,,,,1,3,,,DE,,"TJ Holding Company, Inc.",20,33334,FL,5873543,75676091
1000 Corporate Drive,,Ft. Lauderdale,,,,,1,3,,,DE,,"TJ Holding Company, Inc.",10,33334,FL,5873544,75676091
2118 Woodville Road,,Toledo,,,,,1,1,US,,,,"Williams, Timothy L.",10,43616,OH,5874750,75676582
220 White Plains Road,,Tarrytown,,,,,1,3,,,DE,,"EAGLE FAMILY FOODS, INC.",20,10591,NY,5878639,75678222
220 White Plains Road,,Tarrytown,,,,,1,3,,,DE,,"EAGLE FAMILY FOODS, INC.",10,10591,NY,5878640,75678222
Max-Volmer-Strasse 28,,40724 Hilden,,DE,,KG,1,99,DE,,,,Wolfgang Beyer KG,30,,,5878924,75678341
Max-Volmer-Strasse 28,,40724 Hilden,,DE,,KG,1,99,DE,,,,Wolfgang Beyer KG,20,,,5878925,75678341
Max-Volmer-Strasse 28,,40724 Hilden,,DE,,KG,1,99,DE,,,,Wolfgang Beyer KG,10,,,5878926,75678341
225 Fifth Avenue,,New York,,,,,1,3,,,NY,,"Mottahedeh & Company, Inc.",20,10010,NY,5883389,75680226
225 Fifth Avenue,,New York,,,,,1,3,,,NY,,"Mottahedeh & Company, Inc.",10,10010,NY,5883390,75680226
701 North Plano Road,,Richardson,,,,,1,3,,,TX,,"I Rent America, Inc.",30,75081,TX,5885583,75681342
701 North Plano Road,,Richardson,,,,,1,3,,,TX,,"I Rent America, Inc.",20,75081,TX,5885584,75681342
701 North Plano Road,,Richardson,,,,,1,3,,,TX,,"I Rent America, Inc.",10,75081,TX,5885585,75681342
3601 SE Ocean Blvd.,,Sewells Point,,,,,1,3,,,FL,,Big Apple Pizza and Pasta,30,34996,FL,5886066,75681535
3601 SE Ocean Blvd.,,Sewells Point,,,,,1,3,,,FL,,Big Apple Pizza and Pasta,20,34996,FL,5886067,75681535
3601 SE Ocean Blvd.,,Sewells Point,,,,,1,3,,,FL,,Big Apple Pizza and Pasta,10,34996,FL,5886068,75681535
,ONE DOLE DRIVE,Westlake Village,,,,,1,3,,,HI,,"Dole Food Company, Inc.",30,91362,CA,5887686,75682257
31365 Oak Crest Drive,,Westlake Village,,,,,1,3,,,HI,,"Dole Food Company, Inc.",20,91361,CA,5887687,75682257
31365 Oak Crest Drive,,Westlake Village,,,,,1,3,,,HI,,"Dole Food Company, Inc.",10,91361,CA,5887688,75682257
"326 A Street, Suite 6-C",,Boston,,,,,2,1,US,,,,"Butterick, Matthew",30,02210,MA,5887898,75682340
"326 A Street, Suite 6-C",,Boston,,,,,1,3,,,MA,,"FONT BUREAU, Inc., The",30,02210,MA,5887899,75682340
"326 A Street, Suite 6-C",,Boston,,,,,2,1,US,,,,"Butterick, Matthew",20,02210,MA,5887900,75682340
"326 A Street, Suite 6-C",,Boston,,,,,1,3,,,MA,,"FONT BUREAU, Inc., The",20,02210,MA,5887901,75682340
"326 A Street, Suite 6-C",,Boston,,,,,2,1,US,,,,"Butterick, Matthew",10,02210,MA,5887902,75682340
"326 A Street, Suite 6-C",,Boston,,,,,1,3,,,MA,,"FONT BUREAU, Inc., The",10,02210,MA,5887903,75682340
Two World Trade Center,,New York,,,,,1,3,,,DE,,Morgan Stanley Dean Witter & Co.,20,10048,NY,5889237,75682910
Two World Trade Center,,New York,,,,,1,3,,,DE,,Morgan Stanley Dean Witter & Co.,10,10048,NY,5889238,75682910
1000 Country Club Road,,Heber Springs,,,,,1,13,,,AR,,Red Apple Enterprises Limited Partnership,10,72543,AR,5892991,75684471
"No. 2, Ta Ren Street",,"San Chung City, Taipei Hsien",,TW,,,1,3,TW,,,,"GREAT YEN ELECTRIC FOOD GRINDER CO., LTD.",30,,,5893664,75684737
"No. 2, Ta Ren Street",,"San Chung City, Taipei Hsien",,TW,,,1,3,TW,,,,"GREAT YEN ELECTRIC FOOD GRINDER CO., LTD.",20,,,5893665,75684737
"No. 2, Ta Ren Street",,"San Chung City, Taipei Hsien",,TW,,,1,3,TW,,,,"GREAT YEN ELECTRIC FOOD GRINDER CO., LTD.",10,,,5893666,75684737
"725 South Figueroa Street, Suite #2250",,Los Angeles,,,,,1,3,,,CA,,"GoProjex, Inc.",30,90017,CA,5896017,75685955
"725 South Figueroa Street, Suite #2250",,Los Angeles,,,,,1,3,,,CA,,"GoProjex, Inc.",20,90017,CA,5896018,75685955
"725 South Figueroa Street, Suite #2250",,Los Angeles,,,,,1,3,,,CA,,"GoProjex, Inc.",10,90017,CA,5896019,75685955
9 West 57th Street,,New York,,,,,1,3,,,NY,,"Chanel, Inc.",20,10019,NY,5898226,75686895
9 West 57th Street,,New York,,,,,1,3,,,NY,,"Chanel, Inc.",10,10019,NY,5898227,75686895
728 WOOD CREEK WAY,,ROSWELL,,,DBA Rolexus Records,,1,1,US,,,,"Roman, James",20,30016,GA,5901604,75688278
728 WOOD CREEK WAY,,ROSWELL,,,DBA Rolexus Records,,1,1,US,,,,"Roman, James",10,30016,GA,5901605,75688278
54 Industrial Road,,Wainscott,,,,,1,3,,,DE,,"MapEasy, Inc.",20,11975,NY,5902032,75688483
54 Industrial Road,,Wainscott,,,,,1,3,,,DE,,"MapEasy, Inc.",10,11975,NY,5902033,75688483
,4600 150th Avenue NE,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,30,98052,WA,5903193,75688943
4820 - 150th Avenue N.E.,,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,20,98052,WA,5903194,75688943
4820 - 150th Avenue N.E.,,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,10,98052,WA,5903195,75688943
4820 - 150th Avenue N.E,,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,30,98052,WA,5903763,75689169
4820 - 150th Avenue N.E,,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,20,98052,WA,5903764,75689169
4820 - 150th Avenue N.E,,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,10,98052,WA,5903765,75689169
1105 NORTH MARKET STREET,,WILMINGTON,,,,,1,16,,,DE,,"FILENE'S BASEMENT, LLC",32,19899,DE,5907611,75691010
1105 NORTH MARKET STREET,,WILMINGTON,,,,,1,16,,,DE,,"SYL, LLC",31,19899,DE,5907612,75691010
200 West 57th Street,Suite 507,New York,,,,,1,3,,,PA,,"Stanley Blacker, Inc.",30,10019,NY,5907613,75691010
200 West 57th Street,Suite 507,New York,,,,,1,3,,,PA,,"Stanley Blacker, Inc.",20,10019,NY,5907614,75691010
200 West 57th Street,Suite 507,New York,,,,,1,3,,,PA,,"Stanley Blacker, Inc.",10,10019,NY,5907615,75691010
900 King Street,,Rye Brook,,,,,1,3,,,DE,,Snapple Beverage Corp.,30,10573,NY,5907771,75691073
709 Westchester Avenue,,White Plains,,,,,1,3,,,DE,,Snapple Beverage Corp.,20,10604,NY,5907772,75691073
709 Westchester Avenue,,White Plains,,,,,1,3,,,DE,,Snapple Beverage Corp.,10,10604,NY,5907773,75691073
Neuhofstrasse 21,,CH-6340 Baar,,CH,,,1,3,CH,,,,KIRKBI AG,30,,,5908332,75691302
Neuhofstrasse 21,,CH-6340 Baar,,CH,,,1,3,CH,,,,KIRKBI AG,20,,,5908333,75691302
Neuhofstrasse 21,,CH-6340 Baar,,CH,,,1,3,CH,,,,KIRKBI AG,10,,,5908334,75691302
,4600 150th Avenue NE,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,30,98052,WA,5909758,75691851
4820 - 150th N.E.,,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,20,98052,WA,5909759,75691851
4820 - 150th N.E.,,Redmond,,,,,1,3,,,WA,,Nintendo of America Inc.,10,98052,WA,5909760,75691851
1 Infinite Loop,,Cupertino,,,,,1,3,,,CA,,"Apple Computer, Inc",10,95014,CA,5909867,75691894
1 Villiersdorp Road,GRABOUW,Cape Province,,ZA,,,1,3,ZA,,,,Two-A-Day Group Limited,10,,,5909948,75691930
K.I. SERVICE DEP.,,NEW YORK,,,,,1,1,IL,,,,"DESLER, CHAIM GDALIA",10,101011522,NY,5913306,75693302
TWR 15-1,333 CONTINENTAL BOULEVARD,EL SEGUNDO,,,,,1,3,,,DE,,"MATTEL, INC.",30,90245,CA,5919879,75696390
333 Continental Boulevard,,El Segundo,,,,,1,3,,,DE,,"MATTEL, INC.",20,902455012,CA,5919880,75696390
333 Continental Boulevard,,El Segundo,,,,,1,3,,,DE,,"MATTEL, INC.",10,902455012,CA,5919881,75696390
"919 NORTH MARKET STREET, 2ND FLOOR",,WILIMINGTON,,,,,1,3,,,DE,,PHOENIX INTANGIBLES HOLDING COMPANY,30,19801,DE,5928357,75699808
"919 NORTH MARKET STREET, 2ND FLOOR",,WILIMINGTON,,,,,1,3,,,DE,,PHOENIX INTANGIBLES HOLDING COMPANY,20,19801,DE,5928358,75699808
"919 NORTH MARKET STREET, 2ND FLOOR",,WILIMINGTON,,,,,1,3,,,DE,,PHOENIX INTANGIBLES HOLDING COMPANY,11,19801,DE,5928359,75699808
101 Kappa Drive,RIDC Park,Pittsburgh,,,,,1,3,,,PA,,"GIANT EAGLE, INC.",10,152382809,PA,5928360,75699808
"24, rue Faubourg Saint-Honore",,75008 Paris,,FR,,,1,3,FR,,,,HERMES INTERNATIONAL,20,,,5928641,75699932
"24, rue Faubourg Saint-Honore",,75008 Paris,,FR,,,1,3,FR,,,,HERMES INTERNATIONAL,10,,,5928642,75699932
2450 N.W. 5th Ave.,,MIAMI,,,,,1,3,,,FL,,IN TAIK LIM,10,33127,FL,5929192,75700259
"416 Maetan-dong, Paldal-gu",,"Suwon-City, Kyungki-do",,KR,"DBA SAMSUNG ELECTRONICS CO., LTD.",,1,3,KR,,,,"SAMSUNG ELECTRONICS CO., LTD.",10,,,5930122,75700760
150 Varick Street,,New York,,,,,1,3,,,NY,,"INNOVATIONS IN WALLCOVERINGS, INC.",30,10013,NY,5943013,75706108
150 Varick Street,,New York,,,,,1,3,,,NY,,"INNOVATIONS IN WALLCOVERINGS, INC.",20,10013,NY,5943014,75706108
150 Varick Street,,New York,,,,,1,3,,,NY,,"INNOVATIONS IN WALLCOVERINGS, INC.",10,10013,NY,5943015,75706108
29545 EAST ENID ROAD,,EUGENE,,,,,1,16,,,DE,,"STATES INDUSTRIES, LLC",31,97401,OR,5944489,75706684
P.O. Box 7037,,Eugene,,,,,1,3,,,OR,,"States Industries, Inc.",30,97401,OR,5944490,75706684
P.O. Box 7037,,Eugene,,,,,1,3,,,OR,,"States Industries, Inc.",20,97401,OR,5944491,75706684
P.O. Box 7037,,Eugene,,,,,1,3,,,OR,,"States Industries, Inc.",10,97401,OR,5944492,75706684
#416 Maetan-dong,"Paldal-gu, Suwon-city",Kyungki-do,,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",30,,,5945518,75707106
#416 Maetan-dong,"Paldal-gu, Suwon-city",Kyungki-do,,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",20,,,5945519,75707106
#416 Maetan-dong,"Paldal-gu, Suwon-city",Kyungki-do,,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",10,,,5945520,75707106
#416 Maetan-dong,"Paldal-gu, Suwon-city",Kyungki-do,,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",30,,,5947114,75707813
#416 Maetan-dong,"Paldal-gu, Suwon-city",Kyungki-do,,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",20,,,5947115,75707813
#416 Maetan-dong,"Paldal-gu, Suwon-city",Kyungki-do,,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",10,,,5947116,75707813
2200 Northmont Parkway,,Duluth,,,,,1,3,,,DE,,"New Hermes, Incorporated",30,30096,GA,5947618,75708018
2200 Northmont Parkway,,Duluth,,,,,1,3,,,DE,,"New Hermes, Incorporated",20,30096,GA,5947619,75708018
2200 Northmont Parkway,,Duluth,,,,,1,3,,,DE,,"New Hermes, Incorporated",10,30096,GA,5947620,75708018
2879 Johnstown Road,,Columbus,,,DBA Sunapple & Company,,1,3,,,OH,,"ARC Industries, Inc.",30,43219,OH,5949966,75708992
2879 Johnstown Road,,Columbus,,,DBA Sunapple & Company,,1,3,,,OH,,"ARC Industries, Inc.",20,43219,OH,5949967,75708992
2879 Johnstown Road,,Columbus,,,DBA Sunapple & Company,,1,3,,,OH,,"ARC Industries, Inc.",10,43219,OH,5949968,75708992
#416 Maetan-Dong,,"Suwon-City, Kyungki-do",,KR,,,1,3,KR,,,,DISCOVER DIGITAL. DISCOVER SAMSUNG,10,,,5951618,75709646
#416 Maetan-dong,,"Paldal-gu, Suwon-City, Kyungki-do",,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",30,,,5951621,75709648
#416 Maetan-dong,,"Paldal-gu, Suwon-City, Kyungki-do",,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",20,,,5951622,75709648
#416 Maetan-dong,,"Paldal-gu, Suwon-City, Kyungki-do",,KR,,,1,3,KR,,,,"Samsung Electronics Co., Ltd.",10,,,5951623,75709648
Schouwburgplein 30-34,,3012 CL ROTTERDAM,,NL,,,1,3,NL,,,,SABMILLER INTERNATIONAL B.V.,31,,,5951887,75709751
Hofplein 19,,3032 AC Rotterdam,,NL,TA Sabmark International,,1,3,NL,,,,South African Breweries International (Finance) B.V.,30,,,5951888,75709751
Hofplein 19,,3032 AC Rotterdam,,NL,TA Sabmark International,,1,3,NL,,,,South African Breweries International (Finance) B.V.,20,,,5951889,75709751
Hofplein 19,,3032 AC Rotterdam,,NL,TA Sabmark International,,1,3,NL,,,,South African Breweries International (Finance) B.V.,10,,,5951890,75709751
333 Continental Boulevard,,El Segundo,,,,,1,3,,,DE,,"Mattel, Inc.",20,902455012,CA,5954561,75711071
333 Continental Boulevard,,El Segundo,,,,,1,3,,,DE,,"Mattel, Inc.",10,902455012,CA,5954562,75711071
,1000 STANLEY DRIVE,NEW BRITAIN,,,,,1,3,,,DE,,"STANLEY LOGISTICS, L.L.C",31,06053,CT,5956407,75711821
1000 Stanley Drive,,New Britain,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",30,06053,CT,5956408,75711821
1000 Stanley Drive,,New Britain,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",20,06053,CT,5956409,75711821
1000 Stanley Drive,,New Britain,,,,,1,3,,,DE,,"STANLEY LOGISTICS, INC.",10,06053,CT,5956410,75711821
401 East Pratt Street,,Baltimore,,,,,1,3,,,MD,,PTC International,10,21202,MD,5975006,75719626
10950 Saticoy - Unit #5,,Sun Valley,,,,,1,1,US,,,,"Horton, Gladys",10,913524523,CA,5975312,75719750
35 Union Avenue,Suite 301,Memphis,,,,,1,16,,,TN,,"Vincent, Anton V.",10,38103,TN,5976356,75720274
,13045,S-402 51 Goteborg,,SE,,,1,3,SE,,,,SAAB MARINE ELECTRONICS AB,10,,,5977792,75720947
1585 Broadway,,New York,,,,,1,3,,,DE,,MORGAN STANLEY DEAN WITTER & CO.,30,10036,NY,5982256,75722787
1585 Broadway,,New York,,,,,1,3,,,DE,,MORGAN STANLEY DEAN WITTER & CO.,20,10036,NY,5982257,75722787
1585 Broadway,,New York,,,,,1,3,,,DE,,MORGAN STANLEY DEAN WITTER & CO.,10,10036,NY,5982258,75722787
1585 Broadway,,New York,,,,,1,3,,,DE,,MORGAN STANLEY DEAN WITTER & CO.,30,10036,NY,5982259,75722788
1585 Broadway,,New York,,,,,1,3,,,DE,,MORGAN STANLEY DEAN WITTER & CO.,20,10036,NY,5982260,75722788
1585 Broadway,,New York,,,,,1,3,,,DE,,MORGAN STANLEY DEAN WITTER & CO.,10,10036,NY,5982261,75722788
17861 CARTWRIGHT ROAD,,IRVINE,,,,,1,3,,,CA,,"RDSK, INC.",31,92620,CA,5982384,75722841
17861 CARTWRIGHT ROAD,,IRVINE,,,,,1,3,,,DE,,LITRONIC INC,30,926146216,CA,5982385,75722841
17861 CARTWRIGHT ROAD,,IRVINE,,,,,1,3,,,DE,,LITRONIC INC,20,926146216,CA,5982386,75722841
17861 CARTWRIGHT ROAD,,IRVINE,,,,,1,3,,,DE,,LITRONIC INC,10,926146216,CA,5982387,75722841
"1071 Avenue of the Americas, 11th Floor",,New York,,,,,1,3,,,DE,,"Viewpoint International, Inc.",20,10018,NY,5995590,75728550
"1071 Avenue of the Americas, 11th Floor",,New York,,,,,1,3,,,DE,,"Viewpoint International, Inc.",10,10018,NY,5995591,75728550
"68, AVENUE DES CHAMPS ELYSEES",,75008 PARIS,,FR,,,1,34,FR,,,,GUERLAIN,31,,,5999126,75729961
"68, Avenue des Champs-Elysees",,75008 Paris,,FR,,,1,3,FR,,,,Guerlain S.A.,30,,,5999127,75729961
"68, Avenue des Champs-Elysees",,75008 Paris,,FR,,,1,3,FR,,,,Guerlain S.A.,20,,,5999128,75729961
"68, Avenue des Champs-Elysees",,75008 Paris,,FR,,,1,3,FR,,,,Guerlain S.A.,10,,,5999129,75729961
43 Hasivim Street,,Petach Tikva 49130,,IL,,,1,11,IL,,,,ECtel LTD.,20,,,6000318,75730675
43 Hasivim Street,,Petach Tikva 49130,,IL,,,1,11,IL,,,,ECtel LTD.,10,,,6000319,75730675
4272A East Florence Avenue,,Bell,,,,,1,1,US,,,,"Blanchard, Floyd W.",20,90201,CA,6002666,75731673
4272A East Florence Avenue,,Bell,,,,,1,1,US,,,,"Blanchard, Floyd W.",10,90201,CA,6002667,75731673
115 Grimes Drive,,Guntersville,,,,,1,3,,,AL,,"Kappler, Inc.",31,35976,AL,6007246,75733592
115 Grimes Drive,,Guntersville,,,,,1,3,,,AL,,"Kappler Safety Group, Inc.",30,35976,AL,6007247,75733592
115 Grimes Drive,,Guntersville,,,,,1,3,,,AL,,"Kappler Safety Group, Inc.",20,35976,AL,6007248,75733592
115 Grimes Drive,,Guntersville,,,,,1,3,,,AL,,Kappler Protective Apparel & Fabrics,10,35976,AL,6007249,75733592
2029 Century Park East Suite 900,,Los Angeles,,,,,1,3,,,NV,,"GoProfit.com, Inc.",30,90067,CA,6009644,75734568
2029 Century Park East Suite 900,,Los Angeles,,,,,1,3,,,NV,,"GoProfit.com, Inc.",20,90067,CA,6009645,75734568
2029 Century Park East Suite 900,,Los Angeles,,,,,1,3,,,NV,,"GoProfit.com, Inc.",10,90067,CA,6009646,75734568
2029 Century Park East Suite 900,,Los Angeles,,,,,1,3,,,NV,,"GoProfit.com, Inc.",30,90067,CA,6009647,75734569
2029 Century Park East Suite 900,,Los Angeles,,,,,1,3,,,NV,,"GoProfit.com, Inc.",20,90067,CA,6009648,75734569
2029 Century Park East Suite 900,,Los Angeles,,,,,1,3,,,NV,,"GoProfit.com, Inc.",10,90067,CA,6009649,75734569
200 Chestnut Ridge Road,,Woodcliff Lake,,,,,1,3,,,NJ,,Ingersoll-Rand Company,10,07675,NJ,6016056,75737441
"704 Haywood Drive, P.O. Box 671",,Exton,,,,,1,3,,,PA,,"Hermes Transportation Co., Inc.",30,193410671,PA,6017778,75738089
"704 Haywood Drive, P.O. Box 671",,Exton,,,,,1,3,,,PA,,"Hermes Transportation Co., Inc.",20,193410671,PA,6017779,75738089
"704 Haywood Drive, P.O. Box 671",,Exton,,,,,1,3,,,PA,,"Hermes Transportation Co., Inc.",10,193410671,PA,6017780,75738089
4401 Ponce de Leon Boulevard,,Coral Gables,,,,,1,3,,,FL,,"Cosmyl, Inc.",20,33146,FL,6020017,75739047
4401 Ponce de Leon Boulevard,,Coral Gables,,,,,1,3,,,FL,,"Cosmyl, Inc.",10,33146,FL,6020018,75739047
327 W. Broadway,,Glendale,,,,,1,3,,,CA,,"Howroyd-Wright Employment Agency, Inc.",30,91204,CA,6033827,75744828
327 W. Broadway,,Glendale,,,,,1,3,,,CA,,"Howroyd-Wright Employment Agency, Inc.",20,91204,CA,6033828,75744828
327 W. Broadway,,Glendale,,,,,1,3,,,CA,,"Howroyd-Wright Employment Agency, Inc.",10,91204,CA,6033829,75744828
1519 South Badour Road,P.O. Box 256,Midland,,,,,1,3,,,MI,,"Secrist Toys, Inc.",30,48640,MI,6041406,75748161
1519 South Badour Road,P.O. Box 256,Midland,,,,,1,3,,,MI,,"Secrist Toys, Inc.",20,48640,MI,6041407,75748161
1519 South Badour Road,P.O. Box 256,Midland,,,,,1,3,,,MI,,"Secrist Toys, Inc.",10,48640,MI,6041408,75748161
One Manhattan West,395 Ninth Avenue,New York,,,,NOT-FOR-PROFIT ASSOCIATION,1,99,CA,,,,National Hockey League,30,10001,NY,6045932,75749963
1251 Avenue of the Americas,,New York,,,,NOT-FOR-PROFIT ASSOCIATION,1,99,CA,,,,National Hockey League,20,100201198,NY,6045933,75749963
1251 Avenue of the Americas,,New York,,,,NOT-FOR-PROFIT ASSOCIATION,1,99,CA,,,,National Hockey League,10,100201198,NY,6045934,75749963
9 West 57th Street,,New York,,,,,1,3,,,NY,,"Chanel, Inc.",30,10019,NY,6045957,75749971
9 West 57th Street,,New York,,,,,1,3,,,NY,,"Chanel, Inc.",20,10019,NY,6045958,75749971
9 West 57th Street,,New York,,,,,1,3,,,NY,,"Chanel, Inc.",10,10019,NY,6045959,75749971
"6F, NO. 25, WU-GONG 6TH RD.",WU KU INDUSTRIAL PARK,TAIPEI HSIEN,,TW,,,1,3,TW,,,,"UNIKEY ELECTRONICS CO., LTD.",20,,,6056960,75754748
"6F, NO. 25, WU-GONG 6TH RD.",WU KU INDUSTRIAL PARK,TAIPEI HSIEN,,TW,,,1,3,TW,,,,"UNIKEY ELECTRONICS CO., LTD.",10,,,6056961,75754748
212 OXFORD DRIVE,,SAVANNAH,,,,,1,3,,,GA,,"KMS & CO, CORP",20,31405,GA,6057834,75755207
212 OXFORD DRIVE,,SAVANNAH,,,,,1,3,,,GA,,"KMS & CO, CORP",10,31405,GA,6057835,75755207
212 OXFORD DRIVE,,SAVANNAH,,,,,1,3,,,GA,,"KMS & CO, CORP",20,31405,GA,6057836,75755209
212 OXFORD DRIVE,,SAVANNAH,,,,,1,3,,,GA,,"KMS & CO, CORP",10,31405,GA,6057837,75755209
333 CONTINENTAL BLVD.,,EL SEGUNDO,,,,,1,3,,,DE,,"MATTEL, INC.",30,902455012,CA,6058225,75755485
333 CONTINENTAL BLVD.,,EL SEGUNDO,,,,,1,3,,,DE,,"MATTEL, INC.",20,902455012,CA,6058226,75755485
333 CONTINENTAL BLVD.,,EL SEGUNDO,,,,,1,3,,,DE,,"MATTEL, INC.",10,902455012,CA,6058227,75755485
333 CONTINENTAL BLVD.,,EL SEGUNDO,,,,,1,3,,,DE,,"MATTEL, INC.",20,902455012,CA,6058231,75755488
333 CONTINENTAL BLVD.,,EL SEGUNDO,,,,,1,3,,,DE,,"MATTEL, INC.",10,902455012,CA,6058232,75755488
C/O THE CORPORATION TRUST COMPANY,1209 ORANGE STREET,WILMINGTON,,,,,1,16,,,DE,,SUNGARD BUSINESS SYSTEMS LLC,31,19801,DE,6061335,75756812
104 Inverness Center Place,,Birmingham,,,,,1,3,,,DE,,SUNGARD BUSINESS SYSTEMS INC.,30,35242,AL,6061336,75756812
104 Inverness Center Place,,Birmingham,,,,,1,3,,,DE,,SUNGARD BUSINESS SYSTEMS INC.,20,35242,AL,6061337,75756812
104 Inverness Center Place,,Birmingham,,,,,1,3,,,DE,,SUNGARD BUSINESS SYSTEMS INC.,10,35242,AL,6061338,75756812
333 Continental Boulevard,,El Segundo,,,,,1,3,,,DE,,"MATTEL, INC.",30,902455012,CA,6061555,75756895
333 Continental Boulevard,,El Segundo,,,,,1,3,,,DE,,"MATTEL, INC.",20,902455012,CA,6061556,75756895
333 Continental Boulevard,,El Segundo,,,,,1,3,,,DE,,"MATTEL, INC.",10,902455012,CA,6061557,75756895
100 Grossman Drive,,Braintree,,,,,1,3,,,MA,,"Mauna La¿ i Tropicals, Ltd.",10,02184,MA,6062149,75757140
111 North Sepulveda Boulevard,,Manhattan Beach,,,,,1,3,,,CA,,"MXG media, inc.",10,90266,CA,6063767,75757833
P.O. Box 14588,,Chicago,,,,,1,3,,,IL,,"Stanley Maria, Inc.",30,606140588,IL,6064262,75758030
